epoch,train_loss,train_loss_main,train_loss_aux2,train_loss_aux3,train_loss_reg,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_loss_main,val_loss_aux2,val_loss_aux3,val_loss_reg,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.186984669025007,0.5821806429770955,0.5978958866749591,0.6099675659547772,0.0020794416779151177,0.9727362069470143,0.3508827949191967,0.814005901733871,0.3575592462331287,0.280029830015524,1.0998603867072807,0.5297365536815242,0.5689080075213784,0.5667489290237426,0.0020794416777789593,0.9829090319181744,0.435500891588368,0.799532346584295,0.41876807731108606,0.3376959681993543
2,1.0843852751697713,0.5328644196192424,0.5492210123622626,0.5497719680705265,0.0020794416779151177,0.9786919175532827,0.4274095331955486,0.8120468291905,0.4278270806332153,0.34884549356355543,1.0646027512456242,0.5160214129247164,0.5436722780528821,0.550746288425044,0.0020794416777789593,0.9789827848735608,0.4189508456484963,0.8503147346408744,0.4423930663111946,0.3603881892342692
3,1.0637740536739952,0.523074317675585,0.53793488510868,0.5396483661835654,0.0020794416779151177,0.9796771713167604,0.4612592662808504,0.8192643521246009,0.4607439532310333,0.3805290317926775,1.0518973252490946,0.5078754494064732,0.5380963137275294,0.5477115728353199,0.0020794416777789593,0.9801190828022204,0.45523917190116303,0.8436929294937535,0.47330931316987174,0.39242933398136676
4,1.0407517018373946,0.5132302525447823,0.5249699091353611,0.526150118224105,0.0020794416779151177,0.9801129569784243,0.5172823858559676,0.8164222514006304,0.5092885199335118,0.43028670623762044,1.060052050336411,0.5081532299518585,0.5479542973794436,0.5526169541635011,0.0020794416777789593,0.9833609731573808,0.5285481457087206,0.8313016656198,0.5300063325010781,0.4510271785993474
5,1.0269115837388918,0.5065332917790664,0.5178967053778687,0.5189020382382019,0.0020794416779151177,0.9812248854609261,0.5611788430124832,0.816326450017674,0.550668161318375,0.47127685732099167,1.0578848838021881,0.5142409826579847,0.5380156247239364,0.5468876775942351,0.0020794416777789593,0.9845729627107319,0.654807122777105,0.8041626236156414,0.6298199964471003,0.5527480312112757
6,1.0294153661124017,0.5070470545724122,0.5197861846776036,0.521042866978729,0.0020794416779151177,0.9812946966517041,0.5145530542200966,0.8226587213087116,0.5142546378112556,0.4344485552661241,1.0284896769021687,0.5010280907154083,0.5241044744064933,0.5272986220686059,0.0020794416777789593,0.9834169889751233,0.5753566468115264,0.8357641785552627,0.5800960486671561,0.5017122986398165
7,1.015036991234237,0.4992853181752545,0.5130419366540965,0.5146176449388091,0.0020794416779151177,0.9815745571203399,0.519845184243435,0.817323431177207,0.5113642995037441,0.43198412578316125,1.0660604573394123,0.5215623017988706,0.5400706454327232,0.5459407891097822,0.0020794416777789593,0.9818738435444079,0.5872957351949536,0.8137637633634242,0.5648635857919034,0.48588330662702445
8,1.002492489818244,0.4946801070929968,0.5052929379089534,0.5063929128019433,0.0020794416779151177,0.9817057916295459,0.5658890660661463,0.8229648322167309,0.5586970251534649,0.47936936514306716,1.0155401807866598,0.4982426539847725,0.5144926504084938,0.5163062145835475,0.0020794416777789593,0.9839424133300781,0.6059622790488123,0.8295881534877576,0.5980192567945471,0.5200597153866923
9,1.008666640537524,0.4966786849219897,0.5089203880544294,0.5113906691994583,0.0020794416779151177,0.9817337839226974,0.5309771687245398,0.8237026202236588,0.5311966668121623,0.45143366517829703,1.0092236954130624,0.49205559335256877,0.5124626805907802,0.5190275973395297,0.0020794416777789593,0.9837795056794819,0.6489168925875378,0.8270983517169952,0.6402314154333888,0.5615734541985463
10,1.013131649230133,0.4994453734473178,0.5105558526446248,0.5131832832132863,0.0020794416779151177,0.9817782664159586,0.5694648722640222,0.8222828379225254,0.5624199884117665,0.4834147769146079,1.0429904570705013,0.5080951951052013,0.5314423344637218,0.5348760234682184,0.0020794416777789593,0.9828858626516241,0.5666416017511103,0.8204925930421604,0.5537253287656159,0.4761372222110261
11,1.0028381696766058,0.49505933049129464,0.505052235600544,0.5066701132651658,0.0020794416779151177,0.9822597079806857,0.547678532439071,0.8199093836326948,0.5408863990658761,0.46170735267229707,1.0328743449951474,0.5039249231940821,0.5251375094840401,0.5294686546451167,0.0020794416777789593,0.9842578285618833,0.6639357844029944,0.8285796893270392,0.6487244643084967,0.5711244027875626
12,0.9908513683106815,0.4884261971677256,0.49935240905884415,0.5018356785091044,0.0020794416779151177,0.9818222982841626,0.5469796463050377,0.8264789471215204,0.5485936162341682,0.4689061717051841,1.0152476655809504,0.49670072762589706,0.5153301866430985,0.5181734442710877,0.0020794416777789593,0.9830079329641241,0.6207019807412992,0.8332514353880757,0.6080733025856223,0.530691932016092
13,1.001186336472369,0.49319539317610667,0.5051182354402821,0.5071013719366307,0.0020794416779151177,0.9821439062642773,0.5407122484307003,0.8303720663744045,0.5440129283331213,0.4636679321470609,1.0313436554450737,0.5039685525392231,0.5289108404987737,0.5198728558264281,0.0020794416777789593,0.9836165177194696,0.5487241469065997,0.827239214236799,0.5411000592725786,0.4618509344750274
14,0.9937682902560248,0.4908745466617116,0.5003954482357404,0.5014425530419713,0.0020794416779151177,0.9826919600280405,0.555869238932274,0.8246730066649856,0.5531699976445313,0.4730536088611496,1.0229933394413246,0.5015198422105689,0.5190133744164517,0.5199650444482502,0.0020794416777789593,0.9802032872250206,0.5466290631701366,0.8509335920214653,0.5555996025792157,0.4764412411270252
15,0.9895271241272751,0.48740092913309735,0.4988266031993063,0.5018769498108423,0.0020794416779151177,0.9824776409662258,0.5520475488206338,0.823059295666411,0.5466294937648873,0.4674850631060256,1.0655112835137468,0.5232782978760568,0.5363951683044433,0.5457910675751535,0.0020794416777789593,0.9826033742804277,0.6831188006386252,0.801830279307741,0.6456874327598574,0.5687605664292589
16,0.9936190785959973,0.48996233734471056,0.5008297586301614,0.5026985825153819,0.0020794416779151177,0.9826668231807955,0.5504784213309989,0.8274816350916593,0.5527463045145465,0.47238618179090547,1.0463395374385933,0.5161311118226303,0.5286555657261296,0.5273390929949912,0.0020794416777789593,0.9850141424881784,0.6995809439521954,0.8008946321024384,0.6594080365533928,0.5843180024434113
17,0.9942255452427774,0.4912698335117764,0.5000600271406229,0.5021006063062545,0.0020794416779151177,0.982822444982696,0.5764032032160467,0.8198169404827269,0.5671541772422382,0.48798595610764917,1.0437388260897837,0.5096515925307022,0.5297279185370395,0.5354275694018916,0.0020794416777789593,0.9854242425215872,0.6662356178513439,0.8008695599576038,0.6296237373960165,0.5530586291634242
18,0.9817541765800694,0.48439744780635274,0.494235829965413,0.496839448966478,0.0020794416779151177,0.9826715614363464,0.5728184350038258,0.8304821875885601,0.5717932172409464,0.4917605621533602,1.016029400809815,0.5022247678355167,0.5130671002362904,0.5097123133508783,0.0020794416777789593,0.9839044671309621,0.5555123759116444,0.8251641476232755,0.5486944220397265,0.46942107656145526
19,0.9852523808612635,0.4859071620375092,0.496194889461785,0.4988720830769567,0.0020794416779151177,0.9828599717881944,0.556758305593501,0.8270469149563745,0.5578454040394352,0.4778461791885817,1.0775960011701835,0.5252955188876705,0.5547357323922609,0.5434489683101051,0.0020794416777789593,0.9858925668816817,0.6098160358542348,0.7775782298396754,0.5655156444775441,0.4894509479175675
20,0.9979447090290269,0.4928459708453619,0.5023022400356872,0.5040948560014803,0.0020794416779151177,0.9826970730608667,0.5698664845915971,0.8303715379259925,0.570076925804619,0.4901659076011801,1.0157982583108702,0.4997647194485915,0.5119471295883781,0.5169645124360135,0.0020794416777789593,0.9833390888414885,0.6064043495927486,0.8436689679559909,0.6099915512029561,0.5311607250037838
21,0.9814134476913347,0.48482456367615373,0.49350887502146046,0.49601026623569733,0.0020794416779151177,0.9830747280901636,0.5700968771263504,0.8233737355245997,0.5666027126266515,0.4868117954048734,1.011096304576648,0.5007147719985561,0.5062619149684906,0.5113623242629202,0.0020794416777789593,0.9802888970626028,0.6060130931341874,0.8546834168269446,0.6108887590845312,0.5307335129777215
22,0.97806453632071,0.4826156479921954,0.49217511429424177,0.49516091608164603,0.0020794416779151177,0.9831719471000091,0.5855952040627308,0.8276037006679345,0.5810499296488552,0.5012638931323644,1.0369758493806187,0.5154554633717788,0.5187763273715973,0.5204378457445847,0.0020794416777789593,0.9838468852796053,0.764074364354201,0.7921076719210013,0.69938036393881,0.6246853553868139
23,0.9764817539493591,0.482548771615614,0.4913072859334667,0.4926729001496967,0.0020794416779151177,0.983161863806652,0.6111959323236344,0.8254455934325551,0.6029115210880899,0.5239254144567711,1.0100415335674036,0.501400365327534,0.5064794979597392,0.5066850699876484,0.0020794416777789593,0.9791383442125823,0.5411366090668728,0.8723024943941518,0.5691811920380992,0.4884562894204032
