epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,0.8433544763894839,0.8254281260142816,0.11389494501054287,0.9572368826821586,0.16791783969536006,0.11090992812380612,0.8165904855595592,0.8466819432922456,0.8439360892839602,0.9693938516010748,0.7847710351149241,0.8341479549805323,0.1165653970092535,0.9715018769105276,0.17546894898017248,0.11554694920778275,0.8365577164400312,0.8252792651457918,0.8653485866443829,0.9999039471149445
2,0.6776507819924399,0.9430323037031655,0.22757277303488455,0.8873594052323671,0.27917288034875815,0.20547191889208055,0.8387000355450654,0.8592533241227867,0.8574965421516652,0.9922399838394094,0.6315897305806478,0.9107934782902399,0.21014022454619408,0.9085085242986679,0.2665974522630374,0.2003131446739038,0.8708524361477022,0.8339888060846311,0.8930730345904715,0.9999818205833435
3,0.48406533994407297,0.9682894950715181,0.3426412154580945,0.828998756742923,0.36748231348590316,0.2901895865101681,0.8641732521842185,0.8867515927610711,0.8656217916272219,0.9545946867666512,0.39002040525277454,0.9708291441202164,0.3890280971924464,0.8630012820164362,0.4216233616073926,0.34204744299252826,0.8655614425429444,0.8072231230892631,0.8787861610992906,0.9999756515026093
4,0.39669106162597084,0.9768504194010084,0.43661193090064504,0.8104029804746681,0.4371317962062693,0.3582400048726073,0.8952836380554706,0.9300449707072412,0.8910404964028911,0.9667584773536041,0.40506086746851605,0.9836821754773458,0.6651904731988907,0.7313700218995413,0.5796790247162183,0.5069916397333145,0.9091142938467281,0.9528757714218675,0.9120106344117951,0.9105398952960968
5,0.3788089005746574,0.9775344991238317,0.44598180598744724,0.8134980441253876,0.44860851625415765,0.3702849947682051,0.8993010811960438,0.9320345751323313,0.8922019168026746,0.9613117052015857,0.3113349874814351,0.983201265335083,0.5223831608891487,0.8167858968178431,0.5217679639657339,0.44335518529017764,0.9226448733555217,0.9511827476614784,0.9049066544212073,0.9118002653121948
6,0.35626027182997944,0.9788077852436315,0.4483246570714166,0.817787230014801,0.4548561035472656,0.37585873275159676,0.9095437812185928,0.9357945442709656,0.9011081013898744,0.9461715789598839,0.30885795255502063,0.9810490608215332,0.4869885767499606,0.8377006550629934,0.49611397087574005,0.4157634526491165,0.9323440432172113,0.9488232444517983,0.9088519733989139,0.9939606040716171
7,0.34878255106578365,0.979686843457623,0.4685327945468582,0.8140442945132745,0.4691487397545966,0.38999026651694396,0.9133017151286313,0.9375655470297152,0.9054653342214259,0.9408953769184719,0.30202776690324146,0.9803759306669235,0.5214518358310064,0.8268186151981354,0.5247980281710625,0.446311575671037,0.928142439763353,0.9452106240711489,0.910833302925273,0.967507561047872
8,0.33758559015309697,0.9802732272682902,0.47978892226085484,0.8093667715509362,0.4791299840000188,0.40028277861180706,0.918065986285234,0.9453920359485753,0.9057229497416208,0.9605964243969071,0.5416327019532522,0.9810343732436498,0.6698056807120641,0.6860064566135406,0.5283417056004206,0.45853536824385327,0.8918628032250938,0.9356699260390466,0.8947163855445619,0.7077066649993261
9,0.3393456261848735,0.9801750561901342,0.49120758989146934,0.8092475672748601,0.4866632954261013,0.40844925277143995,0.9124492445146108,0.9372702258868304,0.8995890939227905,0.9346172542215507,0.2882564018170039,0.9806517958641052,0.5045583844184875,0.8409860481818517,0.5140301312009493,0.4343227619926135,0.9530437121119405,0.967338612400444,0.9288801237818666,0.9156229645013809
10,0.330946288376211,0.9804349051457699,0.4954253744299167,0.8090753844965284,0.4931205862036375,0.4150333921207446,0.9163111011591376,0.9410494601036214,0.9063098901039388,0.9516594465647903,0.32087509830792743,0.9844955652952194,0.6208832959334055,0.7812145253022512,0.579324205716451,0.5037052407860756,0.9222710485567269,0.9570718655089155,0.9173712137265225,0.8588377286990484
11,0.3294423790735619,0.980058743574909,0.48339828765280896,0.8119207141555358,0.48228086628646494,0.40357625679435016,0.9168129967489043,0.9389102563014473,0.9058359053439673,0.9698356718660515,0.2844666341940562,0.9840163389841715,0.5313215653101603,0.8280477027098337,0.5287083759903908,0.4488939866423607,0.9256943145905517,0.9129513442060445,0.9191593818253564,0.9906249046325684
12,0.3213903530735836,0.9807131585673751,0.4873972345735425,0.8163315096748209,0.4900126019927943,0.41074033346131583,0.9097235496660823,0.935448238082292,0.9025081867548381,0.9416773425084408,0.2829629182815552,0.9805258959531784,0.5003500382105509,0.8501455336809158,0.5200883050759634,0.44022806982199353,0.9338923853723863,0.9155540372021723,0.9196360568618726,0.9297778904438019
13,0.3212089287900479,0.9808767850153914,0.49104725033323343,0.8164375212705024,0.4928764238535801,0.41382314640784934,0.9133169789848307,0.9267269924475633,0.9048702944374197,0.9407109679462754,0.3018263131380081,0.9835616449515024,0.5939314266045889,0.8130592703819275,0.5736446380615234,0.49612214664618176,0.938736659912078,0.9574701380737148,0.9266675974323825,0.9907006571690241
14,0.32812099200542844,0.9806511468976458,0.495839153216264,0.8122815406211069,0.4914345941810964,0.41263169899722124,0.9114053304342471,0.9315839595980137,0.9058182558210658,0.9701637330456315,0.28978996972242993,0.979888324936231,0.5152855714162191,0.8458576301733652,0.5332718938589096,0.45478033522764844,0.9349479942160795,0.9553125088430791,0.9251318242857863,0.9976400782664617
