epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,0.8491563650428272,0.7508168621141402,0.14547499843308184,0.959641803483494,0.16504231516699322,0.129462136261043,0.7967179301864908,0.6337050863639908,0.7026529679904293,0.9636028438317971,0.8955131073792776,0.5722165107727051,0.06398580640448365,0.9899483654234145,0.09360076904190812,0.06220745132923026,0.04131054209584313,0.05251846083995112,0.051587272108858405,0.5277690754996406
2,0.8035386566255913,0.8809469742853133,0.3263234308020013,0.9671086239033058,0.3428175373644125,0.3058729330535795,0.8676980629226004,0.7267676264230335,0.7668000335562403,0.9985153811876891,0.8789486123455895,0.8211411800649431,0.2572580286198192,0.9828676680723826,0.28630274285872775,0.2507547065615654,0.05074786245342978,0.054544532078726164,0.053418773586470805,0.5277706450886197
3,0.7841084130474778,0.8979655846220548,0.3592837452888489,0.960391676816784,0.37300107029617807,0.335992050464036,0.8821089389408713,0.7492715102274705,0.7733638378165587,0.9979725099000775,0.8855279684066772,0.9523472752836015,0.5582588315010071,0.9315684934457144,0.5432052711645762,0.5109771953688728,0.04807692265231203,0.05430846163764938,0.05111108133334846,0.5199601782692803
4,0.7568430099330965,0.9128741934651234,0.41740689512159,0.9531575988550656,0.4198638132361115,0.38392822933001597,0.8410094175791778,0.6888946288869798,0.7489477028207903,0.9985597133636475,0.8689920571115282,0.8883190916644202,0.4754787137111028,0.9626912011040581,0.47670620183149975,0.4439985205729802,0.0523504260492002,0.054907866118128486,0.05333330346668117,0.5277769433127509
5,0.7246621358590047,0.9286017789215338,0.4566846675560123,0.9520678666771435,0.46043927454557576,0.42414447909495867,0.8761230002547797,0.7265653110157796,0.7858842340468616,0.999565495819342,0.854738454023997,0.8325430552164713,0.2589111857944065,0.9866977234681448,0.2912670274575551,0.25409935414791107,0.05377492718149625,0.055169224807907015,0.05333330346668117,0.5277776718139648
6,0.6945853897782622,0.9339598729962209,0.44661225060947607,0.9515622228872581,0.44995752612098316,0.41316794323139505,0.8843923007420476,0.7598505922020106,0.7837999971914568,0.990380274467781,0.8444198369979858,0.9552698135375977,0.4717284573449029,0.9507678051789602,0.4794502721892463,0.4432269136110942,0.053952990357221176,0.05555554473575916,0.0555555256410396,0.5230037470658621
7,0.65419089989584,0.9391445107147341,0.47458555586025364,0.9511383351732473,0.47975397549691745,0.44316995803449977,0.8965735550211956,0.7636146164086228,0.8080980616436992,0.9996214929174204,0.8526904847886827,0.9741228752666049,0.7018548515107896,0.9177674982282851,0.6827057500680288,0.648785231841935,0.05003561224340703,0.05531413335036714,0.05446620103380466,0.5158107280731201
8,0.6235692051590466,0.9445763249866298,0.5017627502074007,0.9452395839769332,0.5006329085006088,0.4645786077761259,0.89447672581173,0.7601500229192911,0.8060084015761099,0.9886272803681796,0.8450800246662564,0.9728728764586978,0.6983689996931288,0.9157071312268575,0.6731371217303805,0.639317563838429,0.055555554487179526,0.05555554522395907,0.0555555256410396,0.4722222222222222
9,0.5843528714336332,0.9542711719137723,0.5457965428711938,0.942627064517287,0.5395088723448457,0.5036658561620556,0.8916415109820882,0.7715006155189265,0.7927642769661881,0.9839486538386736,0.8308900164233314,0.9680943720870547,0.6247193018595377,0.9391963515016768,0.6191560990280576,0.5850711580779817,0.055555554309116885,0.0555555379576993,0.0555555256410396,0.5276755723688338
10,0.5651643930888567,0.9571390884821532,0.5853240582786623,0.9322710349911549,0.5672930259196485,0.5327156958032827,0.862148598062365,0.6957420579881152,0.7721549390932139,0.9819540655026671,0.8315491477648417,0.9375068777137332,0.5328243573506674,0.9513596097628275,0.5458009243011475,0.5106633736027612,0.05519942902604288,0.05547486473801687,0.054507307701450076,0.4722222222222222
