epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,0.8503998732957684,0.7532492963994135,0.13296087037344448,0.9571356919945263,0.15310035468857797,0.11735538271118383,0.7795022335026432,0.5988572544966093,0.6729518578743415,0.9591660372546462,0.8928222556908926,0.6704885164896647,0.12202873783887264,0.9864255024327172,0.15159400593155792,0.11850413224015803,0.04950142360654544,0.054218951061337256,0.053418773586470805,0.5277777711550394
2,0.8059232557406191,0.8753135380197744,0.2946694332068084,0.9624601661181841,0.3095573072062164,0.2733108681000647,0.8550753688593391,0.7283408295042711,0.7589653796811606,0.9827279526679242,0.8741968837049272,0.8979309830400679,0.35529858453406227,0.9761653575632308,0.37942278964651954,0.3432708788249228,0.0525284886907372,0.05533055446517242,0.05446620103380466,0.5277712345123291
3,0.7859612957375949,0.8905259917994015,0.35582999078953853,0.9566254254247322,0.3640145615476077,0.32835539051743806,0.8502253369469155,0.7185976668289308,0.7539174294144354,0.9991864132099464,0.8688006401062012,0.8368254469500648,0.3138871987660726,0.9727915094958411,0.3382619834608502,0.3027948240439097,0.04487179510464591,0.05315631857927797,0.052410871721861235,0.5277777247958713
4,0.7523907295993117,0.9175914965692114,0.4051979081552537,0.9631935025824875,0.41844461882700684,0.3809807197969468,0.8872164263039826,0.7571351284590392,0.7880039711770499,0.9996092524684843,0.861030658086141,0.9147733151912689,0.47828902800877887,0.9648965100447336,0.4894377274645699,0.45466023517979515,0.04896723585999707,0.05480703240348654,0.05215416520895548,0.5277760757340325
5,0.720479892902687,0.9267855726304601,0.43806970314901383,0.9550526532970491,0.44676552273210934,0.40971355836410994,0.8835731760573353,0.7407559824860007,0.7964036152518379,0.9988979599514946,0.8631094661023881,0.8607853055000305,0.28577475746472675,0.9767087896664938,0.3105688724252913,0.27509987188710106,0.054843303386843574,0.05540008551504091,0.05446620103380466,0.5277764532301161
6,0.689810284825622,0.9371214958487964,0.5091577006168053,0.9485196598240586,0.5089381654731563,0.47312011044533525,0.8852097083496162,0.7649193342337152,0.795138347075442,0.9831263579306055,0.9594193796316782,0.9738624261485206,0.8979727096027799,0.7553951996896002,0.674577108480864,0.6671247113909986,0.032407407882241085,0.049297452169752155,0.0498083999207445,0.4722222222222222
7,0.655566508652734,0.9424589286085034,0.5115240411680253,0.9486760057386805,0.5094840687806489,0.4733861631057302,0.8797510100905507,0.750051232692982,0.7912509517855869,0.994485860965291,0.9178566171063317,0.976844052473704,0.8110963006814321,0.8312254216935899,0.7038846032487022,0.676815582646264,0.04789886018883766,0.054821036757882025,0.05215416520895548,0.50321982966529
8,0.6082877360406469,0.9507752696021659,0.5413999200844374,0.9445160764162658,0.5385871930200545,0.5028297397934023,0.8801691883850585,0.7291173513123475,0.7929053490289333,0.999703004711964,0.8402249879307218,0.9744149645169576,0.7077198657724593,0.927214953634474,0.6912808981206682,0.6576357566648059,0.05003561224340703,0.05531413335036714,0.05446620103380466,0.5175242059760623
9,0.5919389548848887,0.9510495955826807,0.540288220174977,0.9378263862406622,0.5303503123463177,0.49469927002172,0.8901200884710703,0.7638479533110455,0.7898507239158888,0.9795336742870143,0.8642658756838905,0.767343670129776,0.276322898765405,0.9828823440604739,0.2932637673285272,0.26199334032005733,0.040954416990831764,0.052460590475543994,0.051440299573250824,0.5277777711550394
10,0.5682836849181379,0.9570869764343637,0.6005991643569508,0.9309072709474407,0.5809817665913066,0.5464905373385696,0.858658040089987,0.7242458557124329,0.7711541692518542,0.9993869877252423,0.81999957230356,0.9666050606303744,0.6427412662241194,0.9387663801511129,0.6340641743606992,0.5999937885337405,0.05146011319764045,0.05523030538584581,0.053418773586470805,0.4722222222222222
