epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.8011927331080202,0.604962842386277,0.049669117941597445,0.9299824560274843,0.07393205691067899,0.04550244416430837,1.8367955949571397,0.6586767203278012,0.06373477730442859,0.9829822778701782,0.09417550269057132,0.06119295709619697
2,1.7041710908295677,0.7362808428826879,0.08532909383295012,0.9809538223704354,0.11778149552276877,0.08069663705518011,1.8211657073762682,0.7977018786801232,0.08753555521923789,0.975796275668674,0.11798305980588156,0.08165365463056654
3,1.6098286089349965,0.8622742803370367,0.11114529043924613,0.9661683928771098,0.13987072948061052,0.10145804359287512,1.7739785644743178,0.9548621144559648,0.1324005250684529,0.9645300640000237,0.15560889322414428,0.1168909759540137
4,1.5022018092577574,0.9493903547036843,0.13679052956524443,0.970831606231752,0.1607613200779821,0.12284283907931359,1.7861163417498271,0.9785026676124997,0.17957424797384547,0.9109576112694211,0.16136459520560445,0.1275241160833366
5,1.4150644032681574,0.9570675482515429,0.31661300458868996,0.9702210142964223,0.3366341754549839,0.2983529811999837,1.8405857218636408,0.9805773430400424,0.5632669180631638,0.8244433287117217,0.4636811117331187,0.43691350850794053
6,1.3325830424418215,0.9655274406808322,0.5656159476178592,0.9695813186833115,0.5849838862653638,0.5464030206203461,1.742976748281055,0.9805029763115777,0.7560228407382965,0.9371823668479919,0.7489762471781837,0.7136366996500227
7,1.280569797656575,0.964986870523359,0.6010934881499557,0.9704022681126829,0.6203088511209018,0.5819789518098362,1.7361211611164942,0.9816134770711263,0.8054348991976844,0.936954915523529,0.7992843555079566,0.7642921722597547
8,1.227502477950737,0.9687853660739836,0.6481551440035711,0.9679726313372128,0.6651301335115902,0.6271794804784118,1.743497716055976,0.9831142690446641,0.8760273390346103,0.9174666702747345,0.84698353211085,0.8133940398693085
9,1.1814254023989692,0.9689048538442517,0.6553493884743237,0.9719431507782857,0.6781423336169758,0.6391626826075257,1.7957669761445787,0.9822374449835883,0.944650262594223,0.8521384845177332,0.8470454530583488,0.8180553548865848
10,1.1428747421405354,0.9710128356198795,0.6842622353893811,0.9637804431993453,0.6986979881270987,0.6607539902945034,1.6956340505017176,0.9768907394674089,0.6724898384677039,0.9610866871145036,0.6860877474149069,0.649563213189443
11,1.1006585711338481,0.9704400965424834,0.6820536578287844,0.9684399288208758,0.6990385246081431,0.6611593277727972,1.7239501807424757,0.9842494328816732,0.8905402488178678,0.9116891291406419,0.8547546300623152,0.8226861423916287
12,1.0368239527843037,0.9765244399914976,0.7414166419232477,0.9661108265157605,0.7567222655796614,0.7191402941453652,1.7237819598780737,0.9843163755204942,0.9200602107577853,0.9006452560424805,0.8727548784679837,0.841789530383216
13,1.011165026758538,0.9753441732437884,0.7385604772411409,0.9684001637286828,0.7553486921748177,0.7177980043849007,1.716422392262353,0.9838660822974311,0.9049473769134946,0.9173027475674947,0.8765183455414243,0.8437507367796369
14,0.9743896791192351,0.976493884305485,0.731449227841174,0.9665325645540581,0.746281593549447,0.7088458000636492,1.7063061197598774,0.983786424001058,0.890393101506763,0.9246964918242561,0.8694787753952874,0.8367587029933929
11,1.112154998740212,0.9709781799160067,0.6847007487152443,0.9664952842915644,0.6991629028906587,0.6615474981362702,1.7395606074068282,0.9831819004482694,0.8741108742025163,0.9070413675573137,0.836828887462616,0.8042770259910159
12,1.0478747868147054,0.9745993985504401,0.7169392382512327,0.96667423209206,0.731558090350667,0.693695643886191,1.6947887506749895,0.9820448027716743,0.8126846816804674,0.9421467781066895,0.8101984262466431,0.7754842970106337
13,1.006310127797674,0.9767748039276873,0.7449148390136782,0.9673827544587558,0.7594537866897271,0.7219355868511512,1.6809618671735127,0.9784163799550798,0.6798929472764333,0.9624210860994127,0.6946494181950887,0.6587706953287125
14,0.9696287317354171,0.977242142450614,0.760577288318853,0.9686403802183808,0.776061573478042,0.7390855599622257,1.729976365963618,0.9839817153082954,0.8970003558529748,0.9123702281051211,0.8622991608248817,0.8297280255291197
15,0.9325177151648725,0.9768122825466219,0.7438786616090869,0.9712751351419042,0.7628564248319532,0.7252551742264481,1.7877829803360834,0.9825046062469482,0.958618723683887,0.8487080517742369,0.8511715249882804,0.824403218097157
16,0.8984695663217639,0.9795147200099757,0.7918517843621676,0.9671423777205045,0.8066343499011681,0.7699697359663541,1.6885036660565271,0.9834700160556369,0.8199454016155667,0.9346138536930084,0.80706610944536,0.7736967404683431
17,0.8612002124551867,0.9799983071499183,0.7905779187796546,0.9702632280646778,0.8067152060446192,0.770557457306346,1.7134590148925781,0.9847903781467013,0.9165111515257094,0.9112258189254336,0.8807213173972236,0.8482538892163171
18,0.8465589744145753,0.9802102114333481,0.7994539952668988,0.9679132055063717,0.8138900545776867,0.7772023589884649,1.6915862460931141,0.9849775632222494,0.8912081056170993,0.9269917176829444,0.8716764913664924,0.8388945443762673
19,0.8096740050394027,0.9809998928523455,0.799438126751634,0.9693912726933839,0.8178537409813678,0.7807258885414874,1.7163238492276933,0.9846090210808648,0.9093453950352139,0.9061581922902001,0.867379304435518,0.8351451887024773
20,0.7886948507340228,0.9825578791196229,0.8150951461713822,0.9634276941174367,0.82445206993916,0.7887215975855217,1.6637439595328436,0.9815718332926432,0.806442701154285,0.951158430841234,0.8086193137698703,0.7738286058108012
21,0.7961831112376979,0.9791110128652855,0.7836875563762227,0.967593152992061,0.7986826974837506,0.7617927247383556,1.6618525551425085,0.9842617246839735,0.8255297111140357,0.9415566027164459,0.8179664181338416,0.7848548789819082
22,0.7629050661305912,0.9818256800291968,0.8054045223798908,0.966189449927846,0.8206403450887712,0.7837940522881804,1.6376284923818376,0.9828291469150119,0.8245478471120199,0.9557006822692024,0.8273348543379042,0.7941959069834815
23,0.774233766266557,0.9798612360094414,0.7890255969078814,0.9662469312792918,0.8013423808285447,0.765285668803043,1.659102780951394,0.9844625526004367,0.8940515551302168,0.9408025443553925,0.8836833106146919,0.8512106637159983
24,0.7328391192389316,0.9822656531802944,0.7985820594381113,0.9650942556193618,0.80983639545128,0.7739407674210971,1.671194636159473,0.9850325054592557,0.9003362854321798,0.9305161204602983,0.8793250388569303,0.8477446039517721
25,0.7097673298882656,0.9828357706304456,0.8207879730912505,0.9653353319793451,0.832405403012135,0.7967460438853404,1.6431243154737685,0.983839644326104,0.839715795384513,0.9528074297640059,0.8424098624123467,0.8084510531690385
26,0.7276113648883632,0.9814583199923156,0.7987965658062794,0.9645893065655817,0.8099227987351965,0.7736585032744486,1.706627306010988,0.9851183361477323,0.9378823704189725,0.8963027464018928,0.8794251514805688,0.8494823127985001
27,0.735833464587321,0.9813209469201135,0.7960483148449757,0.9603629336982477,0.8030224823560871,0.7668140388903071,1.6736331515842013,0.9850802686479356,0.8919623361693488,0.9298706816302406,0.8701307276884714,0.8379123475816515
