epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,0.8420947071547821,0.8448355119919109,0.13903285066866986,0.9573710204284882,0.19829858994442168,0.1339086236336451,0.7200938700972009,0.7483692088062325,0.8134499041995776,0.9962833924828288,0.7918860067923864,0.9224669933319092,0.1899784201135238,0.9489077081282934,0.2557334899902344,0.1806202164540688,0.8187308324477321,0.8482356376419476,0.8364670721700177,0.9996990909179052
2,0.7965913810462595,0.9055686047144025,0.16648401549764882,0.9410948619664272,0.2263927632403151,0.15658908309502023,0.7688085354378336,0.7864393711014593,0.8266748101276088,0.9996421972167826,0.7688283969958624,0.9417506655057272,0.2391053301592668,0.9039602875709534,0.2958397977054119,0.21976693471272787,0.810436421777654,0.8259977106992858,0.8315410010466543,0.9875306338071823
3,0.7473328598191805,0.9209360051377912,0.19829599266854403,0.9199536353628212,0.2549552584641448,0.18305135636686165,0.7899092353617548,0.8083037258014252,0.8332582583167152,0.9996053481770453,0.7092883835236231,0.9604659626881281,0.4069734637935956,0.8014880865812302,0.4048999175429344,0.3294524898131688,0.8019293922660887,0.8135319833012336,0.8333380040774768,0.951843336224556
4,0.6842386889680524,0.9369573125215335,0.22901289074498915,0.8989196185753724,0.2822381519825659,0.20843487741234146,0.7950721219392709,0.8038609446632989,0.8372423837424411,0.99584753880991,0.6640777339537939,0.9201751997073492,0.22496771439909935,0.923535168170929,0.28495314344763756,0.20946203420559564,0.7932725760661193,0.7726634732145827,0.8387684843930371,0.9999986290931702
5,0.6316453090337949,0.9460815269256306,0.2647040466838908,0.8659758144449965,0.3005261599460495,0.226873346578295,0.7459149721129064,0.7628612587386074,0.8268144595956014,0.9399472831565643,0.5761282990376154,0.9587226857741674,0.3314629818002383,0.8512065956989924,0.3644668459892273,0.28755009174346924,0.7833168720210892,0.7667055983343186,0.8367289175567941,0.986329381664594
6,0.5687948476488345,0.9563251834049403,0.30594935358684755,0.8480942093323325,0.33712597010291623,0.26228221143796066,0.7518150093181402,0.7276545239554388,0.8289505648406791,0.9866532048332357,0.5288583437601725,0.9650466541449229,0.39542950441439945,0.8220790227254232,0.404177725315094,0.3283734545111656,0.7513044350016135,0.7452532430821649,0.8271657057655849,0.999731441338857
6,0.5918101623793629,0.9491930453576775,0.2911356951449519,0.8458952430252716,0.31898240424762264,0.24449220028157545,0.7508343627746594,0.768724031726738,0.8284793234788187,0.9590241836610242,0.5479563524325689,0.9589466402928034,0.35152582575877506,0.852342223127683,0.3779153674840927,0.30088339000940323,0.7768987750693671,0.7626409396543474,0.8358637483523625,0.9999215751886368
7,0.5478187637908436,0.9541893189198503,0.306041443877131,0.8395905862344759,0.33074976448143756,0.25656948050605916,0.7404772927391732,0.7458391501600652,0.8269946888913917,0.9891498751729448,0.5525518258412679,0.959055095911026,0.39024372523029643,0.8038986573616663,0.3620268851518631,0.2911272756755352,0.7324815224568173,0.7365856076856688,0.8101688892711859,0.8294561256965002
8,0.5120995445786235,0.9618821795855728,0.305220721202476,0.8271096621718362,0.32459469125649637,0.25036530579640487,0.7098838918273405,0.7315618644398054,0.8158190057541319,0.9710916681824443,0.4931301573912303,0.9644198020299276,0.38268953810135525,0.8093669762214025,0.38055717945098877,0.3050278251369794,0.7177519270822907,0.6638154604722942,0.818110978929921,0.9998066425323486
9,0.5101015562209014,0.961099761111714,0.29840230489167097,0.8275220767359868,0.314434329065207,0.24007320118563197,0.6887507489855251,0.7265039812284414,0.807286031894902,0.9527413393849524,0.5837288200855255,0.9700248142083486,0.4910296897093455,0.7290272911389669,0.40142255276441574,0.3344680642088254,0.8036414222564147,0.7659159998303168,0.8537700875710682,0.9100005030632019
