epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.7772981396345335,0.7567282146382555,0.06808738682036088,0.9030596407774453,0.10627097841874461,0.06579478784838569,1.7573164403438568,0.9074773987134298,0.1432480781028668,0.9215785811344782,0.19765296081701914,0.1347623417774836
2,1.6618362787727998,0.8888938137304003,0.12479281180024704,0.9234222725173024,0.17771294044557018,0.11847697313283091,1.6245718002319336,0.9632237752278646,0.24710665146509805,0.8737829724947611,0.291141548504432,0.21189122398694357
3,1.541144616135927,0.9494248645327915,0.20038868410286503,0.9163538791308893,0.25739181821591384,0.18315951226749153,1.525030533472697,0.9724696079889933,0.41054617613554,0.8192507922649384,0.4107203036546707,0.33108507841825485
4,1.4337346241852948,0.9620130775130797,0.2604659889763761,0.8869784245981234,0.3119210367587125,0.23438773269408217,1.427093933025996,0.9731050133705139,0.44796660045782727,0.8116127848625183,0.4435393313566844,0.3639039471745491
5,1.3360879276400415,0.9668537567709093,0.31011716241591447,0.8710251483961801,0.3522046042658458,0.27389255583843336,1.3122240900993347,0.9702279816071192,0.34926921129226685,0.8589168737332026,0.3810851126909256,0.3010673796137174
6,1.2482295025174863,0.9704234678054524,0.3478650708343381,0.8642044858397725,0.3867091469675581,0.3074116823829223,1.3543079098065693,0.977902332941691,0.5098007693886757,0.7360263913869858,0.4483977034687996,0.3684278726577759
7,1.2001380029125748,0.9709747266546588,0.36490317176435594,0.8639752814702899,0.3973226497106463,0.31804201341120997,1.2702933450539906,0.9770516355832418,0.47420407086610794,0.7617439478635788,0.42973779141902924,0.3504428615172704
8,1.1423332852737926,0.971683803562806,0.3767110238843989,0.856431927636405,0.40787386525178626,0.32813343739955225,1.1743729015191395,0.9737971027692159,0.37048441419998807,0.8300957977771759,0.37769527236620587,0.2980143874883652
9,1.0817369345192598,0.9735098548024614,0.3769799632446788,0.8578263326225993,0.41093487466607137,0.33042715559495944,1.2584340969721477,0.9799838860829672,0.5651825442910194,0.7077224304278692,0.47155499706665677,0.39137933651606244
10,1.0384970112381695,0.9734674859269757,0.39162552287088376,0.8547145618456546,0.41939417920379995,0.33996563954888104,1.3209600150585175,0.9803008089462916,0.6994437078634897,0.6437545716762543,0.5289971505602201,0.4538351173202197
