epoch,train_loss,train_loss_main,train_loss_aux2,train_loss_aux3,train_loss_reg,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_loss_main,val_loss_aux2,val_loss_aux3,val_loss_reg,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.0488775456063102,0.5093893096825787,0.5179668648220669,0.5712253958265358,0.00021794653825666407,0.9693281767524291,0.3285766387375716,0.7755103451069271,0.3199500567584394,0.2476117384628715,0.7628959069649378,0.3699580778678258,0.3880656311909358,0.3999947210152944,0.0001005614606886714,0.9804070989290873,0.4621998916069667,0.7810755769411722,0.4380044937133789,0.35697343945503235
2,0.7358475015542217,0.36056200143332795,0.37286343362843877,0.37867480405023163,9.750946948226436e-05,0.9759227237968802,0.43448099939622614,0.8039884032490098,0.4334389283278278,0.35529016543214564,0.6312054519852003,0.3008340150117874,0.3275909622510274,0.33435699840386707,7.40387913538143e-05,0.9800549497207006,0.4449831172823906,0.8259277790784836,0.45026473701000214,0.3697838981946309
3,0.684602646070106,0.333579991465417,0.34874213744546767,0.35426995241753406,6.93802897237398e-05,0.9783541788564665,0.4885191246170864,0.8012814922867534,0.4792511023093607,0.4016022232369842,0.6362622280915579,0.30697689453760785,0.3314242313305537,0.32594520847002667,5.2690995895924665e-05,0.9832011858622233,0.6225970685482025,0.7764047831296921,0.5682792713244756,0.49229422708352405
4,0.6679665198392957,0.3250626865948472,0.34037270724216356,0.34657060097311143,5.1956289132597864e-05,0.9788725392840733,0.520173324881313,0.8057575086566889,0.5060707202581601,0.42870988550587236,0.6118027220169703,0.2976665099461873,0.31258127590020496,0.3163491487503052,4.780074596055783e-05,0.9834067473808924,0.6406405220429102,0.7780077854792277,0.586825355887413,0.5107762763897578
5,0.6495873777665825,0.31701579327895263,0.330705068378805,0.33526159948277695,4.3893631028308465e-05,0.9797076610761268,0.5410379522314696,0.8074525115645934,0.5251688194052081,0.44714546259318555,0.5818355257312456,0.27999219795068103,0.2989410112301509,0.3061029215653737,3.7553131581565445e-05,0.9823874036471049,0.6354940036932627,0.8058442970116934,0.5972998738288879,0.5203417837619781
6,0.6310656527492488,0.30763909972716713,0.32075589003964006,0.327342770924078,3.590176119164468e-05,0.980518466401323,0.515456381802247,0.8113001384467722,0.5070272650674125,0.42792056960480235,0.5972994565963745,0.2887490540742874,0.30520855883757275,0.3134815941254298,3.2623083522291076e-05,0.9806941648324331,0.6554048210382462,0.8152034133672714,0.6207393358151118,0.5431951731443405
7,0.6271424232242263,0.30545855515471126,0.3194563773190864,0.3249419732628582,3.3242387616725105e-05,0.9809978648880932,0.5736299917519649,0.8057153158098738,0.5528259288484805,0.47455453204217357,0.5717156132062277,0.27681983013947803,0.29265375932057697,0.29816966752211255,3.564958766825536e-05,0.9794527838627497,0.47270340969165164,0.8679878910382589,0.49909186114867526,0.41778286794821423
8,0.6186471497901133,0.301063394992151,0.3150722852377134,0.3212728288686164,3.1246297001875674e-05,0.9813552153444736,0.5732561127047673,0.8080998375037006,0.5562937437930954,0.4782083143140668,0.559701698521773,0.2692849586407344,0.28806495169798535,0.29388252397378284,2.474779375916114e-05,0.9839019974072775,0.6339761217435201,0.8140567441781362,0.6120987435181936,0.5340302536884943
9,0.6208684909566541,0.30264714109563384,0.31582396832581994,0.32174815362858994,2.7696827346177242e-05,0.9810241655768636,0.582777345291922,0.8057445387973964,0.5616262596901332,0.48430852968002036,0.5809682061274847,0.27853502333164215,0.30100735525290173,0.3045004705588023,2.8579824023230078e-05,0.9845131784677505,0.6799513647953669,0.794353723526001,0.634496862689654,0.557770366470019
10,0.5947134700891014,0.290469033695827,0.30244056588021395,0.3068813369652935,2.7555219701107235e-05,0.98152622831202,0.5811968632390566,0.81017425015708,0.5644620531630293,0.4869220170462243,0.5495441108942032,0.26499056816101074,0.28218749165534973,0.28803642094135284,2.646412955679504e-05,0.98265141248703,0.5964477062225342,0.8369521150986353,0.5855462898810705,0.5057150771220525
11,0.599915015641774,0.2929759058996896,0.30511823658631226,0.30959936057295756,2.8414782693255452e-05,0.9816486139163793,0.589705045813712,0.8125991487057409,0.5714759776525409,0.4934904667261605,0.5566154470046362,0.270129919052124,0.2851324925820033,0.28843462467193604,3.218678148186882e-05,0.9792967289686203,0.5343481178085009,0.8793100217978159,0.5572452594836553,0.47504886488119763
12,0.6041251033823066,0.2948684753658615,0.307348656877179,0.31205407982674715,2.579329281114586e-05,0.9811920796599344,0.5794988273181648,0.8170553423533929,0.5639553554704256,0.48593447447937227,0.5471500058968862,0.267366498708725,0.27907930811246234,0.28076410790284473,3.0284138119895943e-05,0.9798522839943568,0.5087123463551203,0.8827011585235596,0.5366360917687416,0.4547656625509262
13,0.5756887562364061,0.28030632645170267,0.29331468700248503,0.2984258421113558,2.3271747556812603e-05,0.9827668120927899,0.6166868803100051,0.8121456587426016,0.600595122185823,0.5222774404231633,0.55161585410436,0.26722753047943115,0.2841971566279729,0.28460035224755603,2.9877071331914824e-05,0.9792695591847101,0.5228817934791247,0.8697042663892111,0.5393607864777247,0.45846573015054065
14,0.5628063561760377,0.2744291190789125,0.2866230222666375,0.2909434922387667,2.602372031479913e-05,0.9832413670058563,0.6157680078644618,0.8145724741097923,0.6009948228564218,0.5221122595194344,0.5279172534743944,0.2558711717526118,0.2702592710653941,0.2746545573075612,2.868222327379044e-05,0.9829044342041016,0.6244493996103605,0.8404113153616587,0.6168886373440424,0.5380311037103335
15,0.5745722651481628,0.279926964055712,0.29245806687346126,0.29785174911267287,2.9755394654071053e-05,0.982684007314878,0.6307212442995231,0.806810570654468,0.6078962394010241,0.5304608824097108,0.5380320449670156,0.26142993072668713,0.27455370624860126,0.27960095802942914,2.9498602695336256e-05,0.9844115376472473,0.7418901224931082,0.7954949686924616,0.6850988566875458,0.6100417077541351
