epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,1.4948358706065588,2.00028058886528,0.00019780373086734693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2,1.210533515745852,2.0002069771289825,0.9361637037627552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3,1.0448194141147518,2.0001533925533295,0.008254693478954082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
4,0.8940241497103908,2.0001204311847687,0.0013983278858418367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
5,0.7999248890315785,2.0002360343933105,0.005230090082908164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,0.769318816291184,2.0002245604991913,0.011127580915178572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
7,0.6839643130783274,2.000294655561447,0.018630919164540818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
8,0.6507794706761336,2.000258058309555,0.020204629703443878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
9,0.6471970612261476,2.0002691745758057,0.015323810188137756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
10,0.631804946841312,2.000276893377304,0.007613948899872449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
11,0.6117689308999967,2.0003487169742584,0.03166977240114796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
12,0.6111869857090861,1.86125448346138,0.021088518415178573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
13,0.6083975043617377,2.0003971457481384,0.5540953344228317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
14,0.5819421072467035,2.0003627836704254,0.026870665258290818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
15,0.5703018643275028,2.0001659393310547,0.062011469626913264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
16,0.5772450869323826,2.000434786081314,0.1561869718590561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
17,0.5551594984130699,2.0004407167434692,0.2370891960299745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
