epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.8897751725722696,0.9463071661574818,0.18451384771789345,0.7659155319784289,0.20387916381810314,0.13836616893934311,1.8339710632960002,0.9642572949330012,0.30450605849425,0.8158642699321111,0.31312186767657596,0.23289844517906508
2,1.8186636260736768,0.9580549998818156,0.24999435816969828,0.8603747286529184,0.2879494666774696,0.21131977717453074,1.7599392135938008,0.9697156151135763,0.33206534882386524,0.8661879946788152,0.3681504229704539,0.2879108724494775
3,1.7318569689153511,0.9697370902400151,0.3289931410941008,0.8422021598459404,0.35925056694824004,0.281479623830207,1.6606454352537792,0.9754788726568222,0.4550502672791481,0.8347641229629517,0.4662255222598712,0.38682692249615985
4,1.6192657312500143,0.97458489420258,0.40900631555329975,0.8212226139050778,0.4207865935619746,0.3435106426477432,1.5276839832464855,0.9820974916219711,0.6881693998972574,0.766364519794782,0.6360316723585129,0.557838516930739
5,1.493288683000012,0.9782756511296067,0.4777036429008591,0.7959520861367199,0.4653575774108138,0.38864754502461335,1.3943377633889515,0.9816013226906458,0.6513046622276306,0.777082030971845,0.6055092960596085,0.5283767183621725
6,1.3788535795479178,0.9802049114325336,0.524740850814035,0.7811870914753353,0.4964965545685492,0.4199083099298388,1.2721632321675618,0.9831221501032511,0.6853556086619695,0.7795137216647466,0.6363855749368668,0.5578098023931185
7,1.2586086514954256,0.9830986434054152,0.608954043867432,0.7599721238991924,0.5547517086857947,0.4792098581233871,1.1510189026594162,0.9854718446731567,0.7485420405864716,0.7377172162135442,0.6550094981988271,0.5785678500930468
8,1.1691330181104,0.9829695854231576,0.6021620684137968,0.7559411954656939,0.5463202840813967,0.47039414844780325,1.1164896786212921,0.9845178226629893,0.8280454476674398,0.6679199188947678,0.6481119245290756,0.5781339754660925
9,1.0690297339564172,0.9844343160914484,0.6507437401842848,0.7334808166896072,0.5670831172822792,0.4932347758908138,0.9931912869215012,0.9848711689313253,0.7069433430830637,0.712982306877772,0.5973044137159983,0.5228745887676874
10,0.9839007754192174,0.9849627664156049,0.6770136623739083,0.7228363295581853,0.5805618325683558,0.5068072283936438,0.8971143861611685,0.9842336624860764,0.656566267212232,0.7997741301854452,0.628274604678154,0.5483187586069107
11,0.9068336687355398,0.9854708854283127,0.7160599028395715,0.7077824462239988,0.6012098287867609,0.5281247050962715,0.7954425464073817,0.9856685847043991,0.6865444233020147,0.7779430598020554,0.6440553565820059,0.5652649054924647
12,0.8502291401970052,0.9856980710386116,0.7304107293347332,0.7009544049467996,0.6031723261993622,0.5319628882630963,0.7543860524892807,0.9857791711886724,0.8308020780483881,0.7086502313613892,0.691553403933843,0.6168031444152197
13,0.7844182199963899,0.9862275023326695,0.7474223002095088,0.6923974680009289,0.6081473515412518,0.5369076645262888,0.714926133553187,0.9857738564411799,0.7648915946483612,0.7395466168721517,0.6716084827979406,0.5953517928719521
14,0.7511617780845856,0.9864163705121691,0.754028459018636,0.6901481633431443,0.6135562920124731,0.5420216107479879,0.7244663635889689,0.9851402143637339,0.820841113726298,0.7019312679767609,0.673061857620875,0.5996716295679411
15,0.7356199956385889,0.9862205386161804,0.7507866387055299,0.6890274940807128,0.6099503658642279,0.5384267198148175,0.6575122674306234,0.9861137618621191,0.7862102488676707,0.7249156335989634,0.6758773426214854,0.5991126100222269
16,0.7125596635252516,0.9862915990508605,0.7677249769184077,0.6845999900425705,0.6172002414676631,0.5462282946176618,0.6593642632166544,0.9857220749060313,0.7781509906053543,0.7369354814291,0.6764468451340994,0.6022037342190742
17,0.6958345180359956,0.986524815314284,0.773628571880198,0.6814102497056266,0.618209437789204,0.5467365328396592,0.6352571199337641,0.9860072384277979,0.7645183056592941,0.7214557925860087,0.6492999295393626,0.5742124964793524
18,0.6856111541529682,0.9864593008968318,0.7897573882174269,0.6755606373336828,0.6230884617734178,0.554593550546147,0.6196412543455759,0.9861667305231094,0.7559943944215775,0.7429195940494537,0.6628110955158869,0.586658755938212
19,0.671747563598312,0.9864935919503185,0.7734435590628151,0.6783532592180733,0.6162028204057818,0.5457053705353603,0.6146296908458074,0.9860782126585642,0.8457655558983485,0.69204148153464,0.6850930353005728,0.6125040352344513
20,0.6576474657125562,0.9866319382302114,0.7978619727018837,0.6739802622349462,0.6294189037006592,0.5605922461113083,0.5968326578537623,0.986479327082634,0.7780365546544393,0.7391594002644221,0.6762869954109192,0.600348562002182
21,0.6322280538973407,0.9871699408950093,0.7986407162987184,0.6745120225665725,0.6287051542340037,0.5583735790765174,0.5967052529255549,0.986349751551946,0.8282358547051748,0.7116996496915817,0.6965573380390803,0.625119703511397
22,0.6395458631983427,0.9869128487934576,0.7956105687907923,0.6732304082295605,0.6234805508751735,0.5543865483497905,0.61407653739055,0.9855649967988332,0.8761434952418009,0.656472846865654,0.6752164761225382,0.6046645815173785
23,0.6296835065445053,0.9869668840247894,0.7993890492715569,0.6675358910426915,0.6243515730461228,0.5550992455437919,0.5816274061799049,0.9866052915652593,0.8290214240550995,0.7298454542954763,0.7096000959475836,0.6343797643979391
24,0.63611411574845,0.9868880928119766,0.7927479732816465,0.6765584580809156,0.6258654711402465,0.5560432452464772,0.5793246974547704,0.9864266713460287,0.8095336854457855,0.7131567746400833,0.6779928058385849,0.6023447612921397
25,0.6246148113892457,0.9869602851778547,0.8039541439475301,0.6736587483749211,0.6316437743534552,0.562458033038077,0.5832329119245211,0.9861763914426168,0.8293603857358297,0.7052213201920191,0.691603422164917,0.6178320869803429
