epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,0.8492229356140387,0.7559372284373299,0.12748958347517936,0.9626886004307231,0.1516039808754061,0.11557234677134967,0.8075328933025284,0.6553449690853173,0.721624317881462,0.9858880121199811,0.8811786042319404,0.6656906604766846,0.1675189741783672,0.9873305890295241,0.1985424185792605,0.16390560650163227,0.05252848851267456,0.05490469906544671,0.051587272108858405,0.5276645157072279
2,0.809066005417558,0.86742843076831,0.24363993780046214,0.9731594421824471,0.2685935665838054,0.23006886854523517,0.8951919862175972,0.7685465841956426,0.8043109001063526,0.9987120393846856,0.866525775856442,0.8495458397600386,0.13676734270707913,0.990033315287696,0.16903060842278414,0.13191690049624588,0.05217236322960054,0.055555545223959064,0.0555555256410396,0.5277425017621782
3,0.7775200820360028,0.8985350366498603,0.27309889969278556,0.9718540525827252,0.29622351170563305,0.2578473077690015,0.8925439993795053,0.756440251817409,0.7971345690062849,0.995038167375033,0.8618075086010827,0.8605073557959663,0.2792499197853936,0.983110699388716,0.3094970964723163,0.2721765223476622,0.05448717774764427,0.05531625444520308,0.053497912665766624,0.5277746253543429
4,0.7456845367541078,0.9148494679419721,0.334415394018908,0.96807177144973,0.35161900031762044,0.3130696742016761,0.8966258387369448,0.7522134356218134,0.7881955002739016,0.9992042740837472,0.8489432169331445,0.9158946043915219,0.31051231506798005,0.9766759309503767,0.33514030194944805,0.2963523045182228,0.051282050378040796,0.05481559502898628,0.05252522292012486,0.527630627155304
5,0.7134258893669628,0.9295712768054399,0.3455695741977848,0.9653371631122026,0.3607415148957831,0.32234385047779707,0.9095642901419603,0.7788291279143335,0.8038858433336875,0.9934168330958633,0.8551076385709975,0.9522394074334039,0.4123061191704538,0.9415948556529151,0.41281790451871025,0.3762350173460113,0.05217236376378847,0.05527608566492459,0.05446620103380466,0.5277369055483077
6,0.6817542236359393,0.9393380724015783,0.3883507053871624,0.9552386041547432,0.39577340444580456,0.3572620915584877,0.9069032389583441,0.761757370733833,0.8124817401911028,0.9957034187238725,0.830653041601181,0.9534842934873369,0.43990275098217857,0.9630035559336344,0.45294296575917137,0.41629572874969906,0.05555555377492896,0.05555552950893325,0.0555555256410396,0.527768118513955
7,0.6476026802766518,0.9424380386461977,0.3895478006757674,0.9531539326808491,0.39429639206557976,0.35658424384281284,0.8978185440077316,0.7664752706819109,0.7991797658481791,0.983457335683166,0.8208685053719414,0.9545577996306949,0.3855760676993264,0.9673021501964993,0.400999805993504,0.3630784551302592,0.05359686471802188,0.05555554422045029,0.0555555256410396,0.5272345807817247
8,0.5989153746698723,0.951924660166756,0.41108499076522764,0.9542317370899388,0.4163667366641467,0.3780812093468963,0.9217173320970595,0.7861035953356728,0.8249901249388767,0.9996581018948164,0.8481243318981595,0.9754917787181007,0.7298294603824615,0.9180876347753737,0.7044970956113603,0.6703392879830466,0.05430911581835784,0.05555553796425776,0.0555555256410396,0.5190647410021888
9,0.5807952304355434,0.9529852231995004,0.46413832829623924,0.9474771755640624,0.46482273386638673,0.42726591827928045,0.9167985559438465,0.7760712515028956,0.820483577450456,0.9991379282513603,0.8235098686483171,0.9601937565538619,0.4292033049795363,0.9493308795822991,0.43131163716316223,0.39462314711676705,0.05430911528416991,0.05547487248073104,0.054507307701450076,0.5273437235090468
10,0.5455688316313947,0.9596305079147464,0.5260278763341122,0.9396047797359404,0.517940493636444,0.4807684045346057,0.9198663043073304,0.7954246513482567,0.8243370538243968,0.9988559425854292,0.9239534669452243,0.9745590156979032,0.7964738210042318,0.8234880864620209,0.6521243933174345,0.6317692192064391,0.04291310515742562,0.05338755425997891,0.0498083999207445,0.4722222222222222
