epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.789024851361259,0.03719054266321854,0.02851770411352398,0.9976200050994998,0.04933382338676296,0.028472047772441732,1.8102325134807162,0.026034143244841188,0.025982540525755077,0.9999992880556319,0.04543557019143713,0.02598252438283045
2,1.6923593517209663,0.047020746547667705,0.02849056353395591,0.9996093482267662,0.04936602714731068,0.0284661539662324,1.7910360164112515,0.20304536819458008,0.026135966610059156,0.9941636621952057,0.04550973161837626,0.02600075057593817
3,1.5943419347043897,0.536431652600648,0.03617693444133782,0.9903321334573089,0.060188241333502236,0.03541636705154278,1.7746232946713765,0.7255959775712755,0.052493991993684326,0.954215043120914,0.07964057396797877,0.04885699107529596
4,1.5140690060912585,0.7115355817998041,0.05699827323560832,0.983510717993877,0.08825473652267066,0.055469929698671476,1.750603543387519,0.7308063606421152,0.05717336390730954,0.9693895777066549,0.08614026179893695,0.05412888117284129
5,1.4385019638499275,0.848808973539071,0.10193641092933592,0.9829607459365345,0.13384625398111147,0.09617670118564466,1.7597468230459425,0.980182472202513,0.38810624596145415,0.9133530921406217,0.36878986408313114,0.33579011509815854
6,1.3669367579163099,0.9710949307582417,0.4888589758364881,0.9772637828451688,0.5109880507969465,0.4723930021778482,1.732045292854309,0.976973788605796,0.5594348344537947,0.944729381137424,0.5572107699182298,0.5223861916197671
7,1.2872516444472015,0.9754732984011291,0.49060530154431453,0.9780454616077611,0.5144085972035517,0.47632085446451533,1.7048499286174774,0.9708165691958534,0.5584461043278376,0.9596176511711545,0.5697941730419794,0.534023266699579
8,1.2357606897588636,0.9743835417950739,0.5324015724854391,0.9762450954953178,0.5525429510190839,0.5148332756562312,1.7147989008161757,0.9809287819597456,0.6853509777122073,0.9336962633662753,0.6720730827914344,0.6386720604366727
9,1.1673542163411126,0.9780271795929455,0.6464869897873675,0.976905496394048,0.6667639549638404,0.6297322619156759,1.6890459226237402,0.9733809100257026,0.6874860442346997,0.9593743549452888,0.6953062978055742,0.6594460010528564
10,1.1134665090529645,0.9793881627379871,0.7385597561226517,0.9773826530722322,0.7584054323493458,0.7216522776689686,1.6881026327610016,0.979949888255861,0.8052151004473368,0.944611542754703,0.7999236782391866,0.764658111664984
11,1.0587156072991792,0.9806704179185336,0.8000724481754615,0.9779071084788589,0.8210483936012768,0.784001181360151,1.7448355621761746,0.9828601943122016,0.9172519610987769,0.8636518137322532,0.8152207152711021,0.7906168351570765
12,1.0081854579878635,0.9828287607333699,0.8088526852795335,0.9745336722155087,0.8250787052951876,0.789395598114514,1.7294542292753856,0.9822801219092475,0.90772811571757,0.8845639626185099,0.8323547575208876,0.8048978944619497
