epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_iou,train_auroc,train_auprc,train_image_best_f1,train_image_best_threshold,val_loss,val_acc,val_precision,val_recall,val_f1,val_iou,val_auroc,val_auprc,val_image_best_f1,val_image_best_threshold
1,0.6523384989285078,0.8882937978525631,0.5147342692114046,0.9791631796320931,0.5397484577337249,0.5015984694549783,0.9319552253864016,0.8192300415270061,0.8525313660551411,0.9892794802540639,0.82325964834955,0.9508312874370151,0.6401768326759338,0.9838925666279263,0.6708264119095273,0.6323058870103624,0.055555554309116885,0.05555552461376996,0.0555555256410396,0.5277764333619012
2,0.42654528871911473,0.9711262798700177,0.7345171785745465,0.9510731452801189,0.7327098064735288,0.6952779561769767,0.9568771244195059,0.8960440429551102,0.8902630396541252,0.9656804839118582,0.8320532374911838,0.9848447110917833,0.9118393593364291,0.8903280827734206,0.8495970898204379,0.816407420568996,0.05235042658338812,0.055314132956471605,0.05446620103380466,0.5269991358121237
3,0.3233818402055834,0.9778520093589532,0.8023836749498962,0.9567888242299439,0.8048462623455486,0.7683678347556318,0.9724182719498037,0.931112001785245,0.9339796986422757,0.9920423714840998,0.7830619480874803,0.9817265934414334,0.7988880607816908,0.9705294801129235,0.8125913540522257,0.7782151301701864,0.055555554309116885,0.05555553239184949,0.0555555256410396,0.5277207096417745
4,0.30645612028778574,0.9793068287802524,0.805808922306436,0.9540854663145347,0.8044334737980952,0.7690714148224377,0.9734062728966433,0.9141006902210259,0.9226090694633544,0.9637580250130325,0.784850087430742,0.9831693702273898,0.8295632600784302,0.9677273101276822,0.8407761024104224,0.8065615759955512,0.055555554309116885,0.05555552950875729,0.0555555256410396,0.5277771088812087
5,0.2720680334528939,0.9817998604696305,0.8208476930368142,0.9567503362405495,0.8210865630478156,0.7863861977076921,0.9752369106511211,0.9229680189322901,0.92406644727897,0.9558333715454477,0.8204509284761217,0.9848056899176704,0.9135933319727579,0.9020761549472809,0.8544453812970055,0.8246223794089423,0.05306267697147351,0.05506942228503417,0.05333330346668117,0.5238860580656264
6,0.25385774061328076,0.9831230796751429,0.8569388848836305,0.9602907661531792,0.8616478706969589,0.826549020947003,0.9801894781218354,0.9346851013310681,0.9485100894173243,0.9748173522167518,0.7795259323385026,0.9863094753689237,0.8711185422208574,0.9557362364398109,0.8669536709785461,0.835001077916887,0.05519942884798022,0.05547486473801687,0.054507307701450076,0.5105942851967282
7,0.2354087555994753,0.9843656928812872,0.85551781927953,0.9595796866495101,0.8570854575907598,0.8234788697274005,0.9780471838805509,0.9380463938599828,0.9378861139974123,0.9703084924181954,0.7923732532395257,0.9857884248097738,0.8998758461740282,0.9412769873936971,0.8786868320571052,0.8482868042257097,0.0543091156402952,0.05531411860196618,0.05446620103380466,0.526735223001904
8,0.21962776438134615,0.9849966383371197,0.8659781041692515,0.9632961769573024,0.8691860456935695,0.8366017624980113,0.9811299739190645,0.9343872395443928,0.9444804579669782,0.8930229104933192,0.7926527129279243,0.9878365993499756,0.9162198801835378,0.931373354461458,0.8866467939482795,0.8583086033662161,0.055555554309116885,0.055555532392011775,0.0555555256410396,0.5277242130703397
9,0.23890803485620218,0.9840368931410742,0.8476219968717607,0.9588767036062772,0.8480585315188424,0.814646520575539,0.9722041232639783,0.9156826530765341,0.9326621290205006,0.9442992083361892,0.7709927625126309,0.9817850059933133,0.7952290972073873,0.9746482504738702,0.8090055088202158,0.7764080332385169,0.05110398809262907,0.05456628762615531,0.054507307701450076,0.5277777711550394
10,0.21444581473459962,0.985145378308218,0.8678970913418004,0.9635481853954128,0.8723909679006357,0.8392344625269781,0.9781331862838799,0.9384837146929813,0.9409632518945263,0.9580799683195645,0.7736780742804209,0.9856149620480008,0.8628635340266757,0.9645036492082808,0.8686633076932695,0.8369779189427694,0.05110398827069171,0.05456628762615531,0.054507307701450076,0.4722222222222222
