epoch,train_loss,train_loss_main,train_loss_aux2,train_loss_aux3,train_loss_reg,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_loss_main,val_loss_aux2,val_loss_aux3,val_loss_reg,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.4781924791396217,0.7460214138399315,0.7277970909458479,0.7335333792237617,0.002079440428981851,0.9711323746937557,0.5181695374416416,0.8741928456627015,0.4438918358134598,0.40906144124398297,1.6228201998807894,0.8081633784280357,0.8124627604381273,0.8127493090147576,0.0020794416760978717,0.9806110368308608,0.720993173375275,0.8862229110370474,0.6570284399584216,0.6197395487060089
2,1.3367563958838966,0.6670925411578924,0.6653350818169473,0.6709583866976808,0.0020794345398772083,0.975543099746154,0.6097058265081757,0.9133902064902092,0.5692865836009968,0.5326592550463202,1.5815269881422338,0.7898705317655625,0.7889045849173508,0.7905856011576601,0.0020794416744167837,0.9756211373780178,0.4844030224073583,0.9138872268397885,0.44568982520705136,0.4084025423924333
3,1.3000296373936961,0.6484057082574964,0.6479241129789736,0.6519750121570395,0.002079433239526456,0.9768036155818542,0.6450609599627347,0.9178729954642751,0.6071209941537257,0.5723152824726698,1.5907044181539693,0.7947211058991911,0.792428456058571,0.7961169235973151,0.0020794416138976276,0.9542302706611716,0.3745304874241121,0.9702427449639524,0.38781581403752796,0.35155881827264757
4,1.2974660571906274,0.6467880071989662,0.646909476001771,0.6511322747298298,0.002079427541529973,0.975014062914863,0.6418830196683124,0.9218965066418466,0.6073762239773371,0.5727528841557171,1.5654146522821502,0.7798871806812631,0.7826256700371147,0.7846815164338811,0.00207944160128947,0.970885321551712,0.5090501719196097,0.9383139162717743,0.49249605278023784,0.4571576747631083
5,1.278940680758101,0.6377778406246315,0.6377215114730026,0.6411262055749628,0.0020794224504277832,0.9765472412109375,0.6611018396603722,0.9227033701450031,0.6263087899343506,0.5923858291847353,1.5515350612008185,0.7733161427914451,0.775937068118085,0.7764430241894635,0.0020794412079149526,0.9738234922774002,0.5557608015121563,0.9456832440106017,0.5440172621125375,0.5113779986659569
6,1.2841288244886944,0.6404435665919287,0.6404164952180904,0.6433900605760569,0.0020793225603268303,0.9748927861851104,0.6570137229145542,0.927703041801983,0.6276783100895041,0.5936531864186074,1.5464076123835808,0.7706371980453657,0.7732581696355386,0.7743401701699956,0.002079409157978337,0.966303801278345,0.4358268782894542,0.9400823816710862,0.41775941411080425,0.3845825545323033
7,1.2597104239476082,0.6282319684352737,0.6277849557593725,0.6318216951819084,0.002078792741368731,0.9777402946558598,0.7042394994439893,0.9269903570444282,0.6727058411236577,0.6389408543515329,1.5510727604212313,0.773811360343699,0.7744209695378795,0.7763270877758949,0.0020779744076411433,0.9619168718799357,0.4563425763252817,0.9431397360799976,0.43917102794840646,0.4063039939589856
8,1.2632336457145816,0.6301903805698351,0.6297931080006914,0.6327238395334395,0.002077854136542161,0.9774626664103735,0.7057347435964741,0.9285605243502144,0.6741374474227706,0.6416773007346078,1.5413004590823762,0.7687165489695993,0.7699770152783997,0.7713023346684039,0.0020767647566253635,0.9563510495402753,0.37855686868107374,0.9592516544923886,0.37717119560741874,0.3457532317626443
9,1.2484805737415867,0.6226940458884077,0.6226091904203138,0.6253596711846262,0.002077124616031436,0.9808784429862497,0.7575528247567046,0.9317886142326801,0.7292127578905616,0.6971240658063459,1.5518372937875535,0.7738130654238622,0.7757173223615984,0.776294153304737,0.002076143334999627,0.9852645818937557,0.7797442119421647,0.9344209283052368,0.7533301421613605,0.7219190670642317
10,1.2184409023973282,0.6073173634424023,0.6082557641146235,0.6102338426513357,0.0020765166563757845,0.9836435602818655,0.8027446953900849,0.9326440771364527,0.7734667284293127,0.7419403657543324,1.5355672261775186,0.7662139474700074,0.7672647650921818,0.7672973143925306,0.0020754627752309456,0.982863195536369,0.7265418903614735,0.9328303351083818,0.6972332783031645,0.6660580026236348
11,1.228838279505714,0.6123368640638405,0.6133192225784279,0.6160849872381876,0.002075864731292907,0.9805742336473553,0.7877542548350428,0.9340475820058651,0.7602585960445054,0.7290561391277396,1.532913809783407,0.7645966296591914,0.7657729453988884,0.7669460439940222,0.0020749792843277057,0.9776532004456228,0.6550604417181789,0.9469071142509956,0.6383435125991928,0.6081451122902531
12,1.233238730276527,0.6153222798196221,0.6147941234919609,0.6174116809262552,0.002075278140982396,0.979507807722789,0.7642613761449196,0.9341984435409523,0.7364309470900999,0.7054292715835746,1.5591308282224279,0.7785752118709716,0.7789399120351468,0.7777939634632978,0.0020740726787852465,0.9398406817164232,0.3859134727640001,0.9770079586480068,0.3999786058691163,0.36861246912369094
13,1.2211749521837052,0.6090237726634857,0.6093932930399288,0.6111015802677088,0.002074550615717589,0.9786544784090178,0.7648234622234679,0.9394360258945108,0.7425362199477888,0.7110935891687945,1.5252774026150737,0.7605608286410033,0.7617105114330884,0.7640413740912069,0.0020737035556390396,0.9718224150179096,0.5238164507931592,0.9508322372978775,0.5097199995356188,0.48093054092079424
14,1.2265171499272576,0.6114256084886074,0.6120761539614409,0.6144292552242809,0.0020741247303446278,0.9819226957374203,0.7905268427084207,0.9382302173318382,0.7661963186655427,0.7354055355612699,1.5338375061911795,0.7653619100470835,0.7660833663888786,0.7668797309217901,0.0020736730388543883,0.9703027608162229,0.5662300671065206,0.9512319280782762,0.5554437403228618,0.524880482015787
15,1.2362836280839573,0.6163524994521136,0.6172583508933487,0.6187562885417015,0.0020735806612399562,0.9794637835234495,0.7627250964149802,0.938526982689002,0.7389286497091581,0.7082750881449247,1.536396427436426,0.7669915219076273,0.7671265757040857,0.7676398822977224,0.002072981873103535,0.9822214725645871,0.7265133061324515,0.9293346201684931,0.6937016774576792,0.6622231911211536
