epoch,train_loss,train_loss_main,train_loss_aux2,train_loss_aux3,train_loss_reg,train_acc,train_precision,train_recall,train_f1,train_iou,val_loss,val_loss_main,val_loss_aux2,val_loss_aux3,val_loss_reg,val_acc,val_precision,val_recall,val_f1,val_iou
1,1.2785766260900748,0.621510500541787,0.6158699790636698,0.7136616688989075,0.002079440750816509,0.9635957582166579,0.48558637900453744,0.8932071018978005,0.44051525659707075,0.40237908242027554,nan,nan,nan,nan,0.0020794416710787967,0.98146586795505,0.8375287806387428,0.9148207167498499,0.8003074944876939,0.7654341390664628
2,1.0204895876110038,0.5095478268454643,0.5047456692419122,0.5150372917587692,0.0020794243550646585,0.976090433556559,0.7464477927208933,0.9313773876033192,0.7245255112741845,0.687412038216877,nan,nan,nan,nan,0.00207944028749526,0.9822525463515906,0.9429703406292758,0.8694097498337999,0.8536810691622522,0.8232706694079818
3,0.9544205233613228,0.4757868561338871,0.4744123840585668,0.47976715108181567,0.00207936721754835,0.9809972722479637,0.796780612275237,0.942952128166848,0.7829062939672183,0.7476470986610186,nan,nan,nan,nan,0.002079422414812038,0.980935103601689,0.7854035089390909,0.9609211756171082,0.7932696799200385,0.7557560336295818
4,0.9253374276726608,0.4610756366360111,0.459716248052789,0.46588179947732605,0.00207930129236787,0.9826659829509334,0.8175384463091896,0.9493395264322293,0.8099469590875943,0.7755564178114436,1.631073792954143,0.8135994436929552,0.8124936814788434,0.8197467944604887,0.0020793757532059933,0.9843062531176231,0.90598279023342,0.9178103972896398,0.8613282281288998,0.8293388222190116
5,0.9348626121751625,0.46588238362561574,0.4655076055364175,0.46899101239713753,0.0020792472284731707,0.982369065284729,0.819186992175461,0.9492889729074456,0.810752963810743,0.7761334821692825,nan,nan,nan,nan,0.0020793563244100527,0.9834866969705486,0.8003870527877094,0.936179247691477,0.7777545617565704,0.7457705181206601
6,0.8224394750945708,0.41497669500463147,0.4034137164845186,0.408338304828195,0.0020792293773197077,0.9545867022346047,0.6463803631417891,0.9199910619679619,0.6390669170547935,0.5760961069780237,nan,nan,nan,nan,0.0020793525974447135,0.9724835457561685,0.8509750855054786,0.825898183297846,0.6947599167177069,0.6798927733740284
7,0.5416784957051277,0.26739296317100525,0.2753968834877014,0.2674205154180527,0.002079212456010282,0.9658346176147461,0.7287385165691376,0.9890010952949524,0.7731101363897324,0.720522940158844,nan,nan,nan,nan,0.002079352359588948,0.97632645531524,0.909706525665393,0.7989501209671291,0.7221833928987019,0.7112869246316428
8,0.36119046062231064,0.17558413743972778,0.17635875940322876,0.19427964091300964,0.0020791965071111917,0.9945545196533203,0.8488156497478485,0.9529457688331604,0.8355976045131683,0.8086234629154205,nan,nan,nan,nan,0.002079352270811796,0.9773691300865558,0.9426384426706986,0.7904034913341872,0.7454842301479443,0.7354808626420303
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.002079352270811796,0.977204988328673,0.9363137475020594,0.7906662515182094,0.7401124426316247,0.7297911550727483
10,0.7860910072922707,0.39831988513469696,0.39065566658973694,0.37824614346027374,0.002079255587887019,0.9725799560546875,0.7849459052085876,0.9559768736362457,0.8013725876808167,0.7520503103733063,nan,nan,nan,nan,0.0020793518068255496,0.9779741300953378,0.9561285200736506,0.7819769351783357,0.7496800609194273,0.7400885769058845
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0020793518068255496,0.9776810845025152,0.9533500058187855,0.7826133197279089,0.7483265667147149,0.7386550786213284
12,0.9261007159948349,0.46515604853630066,0.46103450655937195,0.4556116759777069,0.0020792067516595125,0.950927734375,0.70460045337677,0.8582090437412262,0.6375840902328491,0.5747914686799049,nan,nan,nan,nan,0.0020793518353012398,0.9782715392627305,0.9563215031898279,0.7886856184638833,0.7585746282774939,0.7476990900179636
13,0.4346851110458374,0.21313101053237915,0.2175043821334839,0.22243070602416992,0.0020791892893612385,0.9719581604003906,0.8428187370300293,0.940212607383728,0.8802234530448914,0.809505045413971,nan,nan,nan,nan,0.0020793518420014023,0.9783008218669206,0.9592028444619487,0.7883992263514396,0.7602354977725255,0.7494369937994532
14,2.0020782947540283,0.9999995231628418,0.999999463558197,0.999999463558197,0.0020792949944734573,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.0020793518621018896,0.9776803435181542,0.9570278263778138,0.7855368018575453,0.7566022631849274,0.7453082184564895
15,0.38373684138059616,0.19539114832878113,0.18826407194137573,0.18327009677886963,0.002079217229038477,0.9813747406005859,0.8938968777656555,0.9033875465393066,0.8860532641410828,0.8099834322929382,nan,nan,nan,nan,0.002079351548869297,0.9778795036480581,0.9599529196032517,0.7879755908190416,0.7616593849553013,0.7502333721999497
16,0.951465267688036,0.47617533802986145,0.47286559641361237,0.47372835874557495,0.00207924545975402,0.9743976593017578,0.7392723262310028,0.944554015994072,0.7467639297246933,0.7013930678367615,nan,nan,nan,nan,0.002079350295938927,0.9782364660029789,0.9686044626098742,0.7846195356350086,0.7677045729136164,0.7556775446749274
17,0.511537516117096,0.2557842493057251,0.24960678815841675,0.2597748041152954,0.0020792562048882247,0.9716987609863281,0.8625337600708007,0.8627657413482666,0.7980851173400879,0.7400845766067505,nan,nan,nan,nan,0.0020793487951025476,0.9788007667596391,0.9432809906040164,0.8101490021881332,0.7728234301197658,0.7588555287318908
18,1.6681404113769531,0.8337771892547607,0.8277360796928406,0.8391057550907135,0.002079191734082997,0.9857807159423828,0.6827103495597839,0.9841617941856384,0.7123296558856964,0.6805568039417267,nan,nan,nan,nan,0.002079348557246782,0.9788959969719537,0.9285544461483578,0.8235183096171004,0.7727340931603954,0.7570556151977267
19,0.22872809320688248,0.11508002877235413,0.10506275296211243,0.12132784724235535,0.002079266356304288,0.9789352416992188,0.8973639607429504,0.9295759201049805,0.9106437265872955,0.8417146503925323,nan,nan,nan,nan,0.0020793478436794857,0.9790890371199135,0.9342170306246915,0.8249429899671673,0.7798360794764349,0.7641149233016756
20,2.0020785331726074,0.9999995231628418,0.999999463558197,0.9999995231628418,0.0020793697331100702,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.002079347478520634,0.9779979788142142,0.9182352560887234,0.8289535969799091,0.7675099311847201,0.7516585890051422
21,2.0020785331726074,0.9999995231628418,0.9999995231628418,0.9999995827674866,0.00207937927916646,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,0.002079347171988204,0.977964689405702,0.9190340132164441,0.8270637968764608,0.7665982599720401,0.750974025130587
22,1.1712957192212343,0.5849200710654259,0.5833212062716484,0.5857592150568962,0.0020792110299225897,0.9851875305175781,0.7214844599366188,0.9972622618079185,0.7458497285842896,0.7197476476430893,nan,nan,nan,nan,0.0020793465605983847,0.9794998717822617,0.8964385321672014,0.8689048100530881,0.7929382793792925,0.7706649919878015
23,0.7581592092619223,0.3769354574820575,0.37915409312528725,0.37913015660117655,0.0020792222965289563,0.9874162112965303,0.8572145174531376,0.9459110428305233,0.8471368235700271,0.810951457304113,nan,nan,nan,nan,0.0020793477465271305,0.980005634774407,0.8989194125580273,0.8706962387990309,0.7965174080450459,0.7735996854184901
24,0.686662549773852,0.34271039565404254,0.33680252896414864,0.3494785229365031,0.0020792066481792265,0.9771571689181857,0.7647035320599874,0.9419258104430305,0.7739245229297214,0.7193900346755981,nan,nan,nan,nan,0.002079343238992871,0.976971688030435,0.8647554418165907,0.8644719006997776,0.7545825921060928,0.7332181702744748
25,0.22364135459065437,0.10957185924053192,0.11171747744083405,0.1123993992805481,0.002079250232782215,0.9732809066772461,0.9472454488277435,0.9285241067409515,0.9360164999961853,0.884856715798378,nan,nan,nan,nan,0.0020793411887431745,0.9750545144938737,0.8717250420892839,0.8351842983840704,0.7265513499301369,0.7099846250753274
26,1.4737743536631267,0.7363233963648478,0.7385605374972025,0.7305884957313538,0.0020792468761404357,0.9504521687825521,0.24884559719326085,0.9933141469955444,0.24598356096508092,0.24233647196056432,nan,nan,nan,nan,0.0020793399324627233,0.974224968779859,0.8654289841651917,0.8247306330154027,0.7078990182254142,0.6927629429858124
27,0.9809866448243459,0.488159437974294,0.4829251170158386,0.5024823745091757,0.002079180752237638,0.9713884989420573,0.5536149144172668,0.998594323794047,0.5925433039665222,0.5531785090764364,nan,nan,nan,nan,0.0020793393545737154,0.9759374385257419,0.9054962006404246,0.8141671770931841,0.7352092667720137,0.722108437153359
